Numero de soluciones: 333

Los valores de cada columna corresponden a R1, R2, R3, C4, C5, G, err(G), wp, err(wp), Qp, Err(Qp),SR1, SR2, SR3 y ST

   R1     R2    R3     C4     C5     G   err(G)    wp   err(wp)  Qp   Err(Qp)  SR1     SR2    SR3    ST
 1870   5620  1400 1.6e-07 2.0e-08 3.005 0.1783 6302.21 0.3028 0.7066 0.0517 0.3747 0.3753 0.0006 0.7506
18700  56200 14000 1.6e-08 2.0e-09 3.005 0.1783 6302.21 0.3028 0.7066 0.0517 0.3747 0.3753 0.0006 0.7506
24900  75000 18700 1.2e-08 1.5e-09 3.012 0.4016 6293.79 0.1688 0.7060 0.1352 0.3754 0.3754 0.0001 0.7509
 2490   7500  1870 1.2e-07 1.5e-08 3.012 0.4016 6293.79 0.1688 0.7060 0.1352 0.3754 0.3754 0.0001 0.7509
 2550   7680  1820 1.2e-07 1.5e-08 3.012 0.3922 6304.45 0.3385 0.7058 0.1635 0.3659 0.3785 0.0126 0.7570
25500  76800 18200 1.2e-08 1.5e-09 3.012 0.3922 6304.45 0.3385 0.7058 0.1635 0.3659 0.3785 0.0126 0.7570
 1960   5900  1330 1.6e-07 2.0e-08 3.010 0.3401 6310.64 0.4369 0.7053 0.2393 0.3564 0.3816 0.0252 0.7632
19600  59000 13300 1.6e-08 2.0e-09 3.010 0.3401 6310.64 0.4369 0.7053 0.2393 0.3564 0.3816 0.0252 0.7632
 2430   7320  1910 1.2e-07 1.5e-08 3.012 0.4115 6303.64 0.3256 0.7058 0.1651 0.3840 0.3725 0.0115 0.7680
24300  73200 19100 1.2e-08 1.5e-09 3.012 0.4115 6303.64 0.3256 0.7058 0.1651 0.3840 0.3725 0.0115 0.7680
24900  75000 16200 1.3e-08 1.6e-09 3.012 0.4016 6290.43 0.1153 0.7097 0.3847 0.3485 0.3843 0.0357 0.7686
 2490   7500  1620 1.3e-07 1.6e-08 3.012 0.4016 6290.43 0.1153 0.7097 0.3847 0.3485 0.3843 0.0357 0.7686
 2550   7680  1580 1.3e-07 1.6e-08 3.012 0.3922 6294.47 0.1796 0.7083 0.1837 0.3394 0.3873 0.0478 0.7746
25500  76800 15800 1.3e-08 1.6e-09 3.012 0.3922 6294.47 0.1796 0.7083 0.1837 0.3394 0.3873 0.0478 0.7746
 1870   5620  1130 1.8e-07 2.2e-08 3.005 0.1783 6305.87 0.3610 0.7105 0.4885 0.3347 0.3886 0.0539 0.7773
18700  56200 11299 1.8e-08 2.2e-09 3.005 0.1783 6305.87 0.3610 0.7105 0.4885 0.3347 0.3886 0.0539 0.7773
 4220  12700  2430 8.2e-08 1.0e-08 3.009 0.3160 6286.20 0.0480 0.7088 0.2561 0.3258 0.3917 0.0659 0.7835
42200 127000 24300 8.2e-09 1.0e-09 3.009 0.3160 6286.20 0.0480 0.7088 0.2561 0.3258 0.3917 0.0659 0.7835
 6810  20500  3920 5.1e-08 6.2e-09 3.010 0.3426 6273.34 0.1566 0.7098 0.4010 0.3258 0.3918 0.0660 0.7835
